Username,Total reviews,location,date,content,Rating,instruction,summary
Bruce,3 reviews,GB,"Aug 31, 2022","""Utterly inadequate serviceUtterly inadequate service. To make a change to the policy the app directed me to a telephone number. I rang the telephone number and there is a recorded message that says """"we are too busy to take calls try the online portal"""". I return to the app and try the chat system. The chat is unavailable.  So I try the portal and where I am left to my own devices to navigate their opaque online system. The system directs me to the same phone number as before that tells me they are not taking calls.Date of experience: August 31"," 2022""","Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: ""Utterly inadequate serviceUtterly inadequate service. To make a change to the policy the app directed me to a telephone number. I rang the telephone number and there is a recorded message that says """"we are too busy to take calls try the online portal"""". I return to the app and try the chat system. The chat is unavailable.  So I try the portal and where I am left to my own devices to navigate their opaque online system. The system directs me to the same phone number as before that tells me they are not taking calls.Date of experience: August 31","Topic Category: Customer Service
Themes: Communication, Unresponsiveness
Pain Point: The user was unable to contact the company through multiple channels for assistance with changing a policy.
Detailed Topic: The user attempted to use both the app's chat function and a provided telephone number for help but encountered recording messages indicating unavailability. They were then left trying to navigate the online portal alone.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from being unable to receive adequate support despite attempting various methods and receiving no resolution or response."
Michael Johal,35 reviews,GB,"Oct 27, 2022","To go along with my previous reviews…To go along with my previous reviews about the same incident on 14/09/22, I have a further complaint. My claim has finally been settled [ not really to my satisfaction but i am losing the will to live] but trying to get any information out of them is impossible. My e-mails are ignored and phoning is a waste of time. I have tried lately on three occasions. I gave up waiting on the phone to speak to their claims department after 35 minutes/ 45 minutes and one this morning after 90 minutes. No wonder people are rude to their operatives if this is what is acceptable service. Automated systems are a nightmare at the best of times but this is really poor. I am expecting a further battle once I inform them of a change of vehicle. Not good.Date of experience: September 14, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: To go along with my previous reviews…To go along with my previous reviews about the same incident on 14/09/22, I have a further complaint. My claim has finally been settled [ not really to my satisfaction but i am losing the will to live] but trying to get any information out of them is impossible. My e-mails are ignored and phoning is a waste of time. I have tried lately on three occasions. I gave up waiting on the phone to speak to their claims department after 35 minutes/ 45 minutes and one this morning after 90 minutes. No wonder people are rude to their operatives if this is what is acceptable service. Automated systems are a nightmare at the best of times but this is really poor. I am expecting a further battle once I inform them of a change of vehicle. Not good.Date of experience: September 14, 2022","Topic Category: Customer Service
Theme(s): Communication, Response Time
Pain Point: Difficulty getting clear and timely communication from company regarding claim settlement process and future changes.
Detailed Topic: The customer faced multiple issues while communicating with the company regarding their claim settlement. They reported being unable to reach the claims department via email or phone, resulting in long wait times. Despite settling the claim, they still expect additional challenges when informing the company of a vehicle change.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the lack of effective communication and unacceptable response times, leading to wasted time and energy attempting to contact the company."
Jacquie Munro,9 reviews,GB,"Dec 1, 2022","VERY RUDE CUSTOMER SERVICES PERSON  I contacted Hastings about a change of…I contacted Hastings about a change of vehicle. The person I spoke to on this occasion was very helpful, although the process of doing this simple thing took an inordinate amount of time. I later found that the person I'd spoken to had entered my car registration incorrectly which meant I had to ring again today. The person I dealt with today was rude to the point of hostility, telling me (as if it was a personal gift they were bestowing on me) that I would not be charged again for the 2nd change of details (when I'd already been charged an extra £40 and the initial mistake was theirs).  Needless to say I will not be renewing with Hastings.Date of experience: December 01, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: VERY RUDE CUSTOMER SERVICES PERSON  I contacted Hastings about a change of…I contacted Hastings about a change of vehicle. The person I spoke to on this occasion was very helpful, although the process of doing this simple thing took an inordinate amount of time. I later found that the person I'd spoken to had entered my car registration incorrectly which meant I had to ring again today. The person I dealt with today was rude to the point of hostility, telling me (as if it was a personal gift they were bestowing on me) that I would not be charged again for the 2nd change of details (when I'd already been charged an extra £40 and the initial mistake was theirs).  Needless to say I will not be renewing with Hastings.Date of experience: December 01, 2022","Topic Category: Customer Service
Themes: Incorrect Information, Unprofessional Behaviour
Pain Point: A customer experienced incorrect information provided by a representative leading to additional charges and unprofessional behaviour during rectification.
Detailed Topic: A customer was initially assisted with changing vehicle details but was later informed that the details had been entered incorrectly. Upon contacting the company again, the second representative behaved rudely despite acknowledging the error and waiving the charge without apologizing or taking responsibility for the issue.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the initial mistake made by Hastings resulting in unnecessary costs, followed by the un"
John Kerr,2 reviews,GB,"Oct 30, 2023","Embarrassment of a companyEmbarrassment of a company. I have been told first of all that I made a mistake on my partners policy that said she was a manual driver rather than auto only. THIS WAS A LIE! The mistake was made by hastings who got the wrong info from her license.Was then told that our claim is on hold because you cannot have two seperate policies for two people for the one car. THIS IS A LIE!Our stolen car is now lying in a garage for two weeks waiting to be assessed and we were told by Vizion on Thursday to contact enterprise and tell them our hire car would be extended on Friday. THIS WAS A LIE and the claim has now been put on hold and we have to oay enterprise for the car.We have now returned the hire vehicle and have no vehicle and have had no communication whatsoever from hastings. I called twice this morning and was cut off. I told them to call me back if they cut me off and I am still waiting.Absolute joke of a company!!!Policy number XA20009285772Date of experience: October 30, 2023",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Embarrassment of a companyEmbarrassment of a company. I have been told first of all that I made a mistake on my partners policy that said she was a manual driver rather than auto only. THIS WAS A LIE! The mistake was made by hastings who got the wrong info from her license.Was then told that our claim is on hold because you cannot have two seperate policies for two people for the one car. THIS IS A LIE!Our stolen car is now lying in a garage for two weeks waiting to be assessed and we were told by Vizion on Thursday to contact enterprise and tell them our hire car would be extended on Friday. THIS WAS A LIE and the claim has now been put on hold and we have to oay enterprise for the car.We have now returned the hire vehicle and have no vehicle and have had no communication whatsoever from hastings. I called twice this morning and was cut off. I told them to call me back if they cut me off and I am still waiting.Absolute joke of a company!!!Policy number XA20009285772Date of experience: October 30, 2023","Topic Category: Customer Service
Themes: Misinformation, Communication Issues
Pain Point: Received incorrect information leading to misunderstandings about policies and claims, resulting in financial burden and inconvenience.
Detailed Topic: The reviewer received misleading information from Hastings regarding their partner's driving status and insurance coverage, which led to their claim being delayed and them having to pay for an extended rental car. They also experienced issues with effective communication and resolution of their situation.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from receiving incorrect information and being subjected to repeated lies from Hastings, as well as the lack of clear communication and failure to"
Simon Johnson,12 reviews,GB,"Sep 4, 2022","No one available to talk to!!?A week ago I had a health issue which resulted in me ending up in hospital and having a stent fitted to a blocked artery in my heart. I am pleased to say that my procedure was successful and I am now on my way to a full recovery.My problem is that I have had no success at all in contacting Hastings Direct, either by:Their 0800 numberTheir Chat LineBy EmailTo let them know that I will not be driving for a while and ask them what is their policy regarding the type of health issue that has effected me.Hopefully this review will trigger some kind of response.Date of experience: September 04, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: No one available to talk to!!?A week ago I had a health issue which resulted in me ending up in hospital and having a stent fitted to a blocked artery in my heart. I am pleased to say that my procedure was successful and I am now on my way to a full recovery.My problem is that I have had no success at all in contacting Hastings Direct, either by:Their 0800 numberTheir Chat LineBy EmailTo let them know that I will not be driving for a while and ask them what is their policy regarding the type of health issue that has effected me.Hopefully this review will trigger some kind of response.Date of experience: September 04, 2022","Topic Category: Customer Service
Theme(s): Communication, Health Concerns
Pain Point: Unable to reach customer service representatives to discuss health situation and insurance coverage.
Detailed Topic: The customer attempted multiple methods to contact Hastings Direct about a medical condition preventing them from driving, but received no response via phone, chat line, or email.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the lack of communication and responsiveness from Hastings Direct during a critical time when the customer needed assistance with their insurance coverage due to a serious health concern."
Mark Blair,6 reviews,GB,"Aug 16, 2022","After being cut off several times in an…After being cut off several times in an attempt to ensure my policy did not renew I eventually got through to someone. I told here I wanted to cancel my renewal and she kept on trying to sell me a renewal even though I had told I had bought a new car policy (because of their terrible service). I repeated the reason for my call (took about 45 minutes to get through) and she kept saying I will cancel your renewal, but what about this price etc etc. It was absolutely infuriating and I am not even sure she actually did. Their website is terrible. I did eventually discover the tick box to stop and auto renew (she wasn't helping). It was still set for auto renew! I will NEVER use Hastings again. Terrible.Date of experience: August 16, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: After being cut off several times in an…After being cut off several times in an attempt to ensure my policy did not renew I eventually got through to someone. I told here I wanted to cancel my renewal and she kept on trying to sell me a renewal even though I had told I had bought a new car policy (because of their terrible service). I repeated the reason for my call (took about 45 minutes to get through) and she kept saying I will cancel your renewal, but what about this price etc etc. It was absolutely infuriating and I am not even sure she actually did. Their website is terrible. I did eventually discover the tick box to stop and auto renew (she wasn't helping). It was still set for auto renew! I will NEVER use Hastings again. Terrible.Date of experience: August 16, 2022","Topic Category: Customer Service
Themes: Persistent Sales Tactics, Miscommunication
Pain Point: Unwanted attempts to renew a policy despite requesting cancellation due to poor past experiences with the company.
Detailed Topic: The customer experienced multiple issues while attempting to prevent her policy from automatically renewing; she was unable to communicate clearly with representatives who tried to persuade her to keep the policy by offering various deals.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the time wasted communicating the desire to cancel, the lack of understanding from the representative, and uncertainty if the action was effectively carried out as promised."
Steven Walker,12 reviews,GB,"Updated Feb 21, 2023","this company is a disgrace  to the name…this company is a disgrace  to the name of insuranceso as a broker hasting direct quota the young kids a price when you pay your deposit they decide tochange the price making the insurance unaffordablethe pigs at the office don't care keep away from thiscompany warn your kid that they will get scammed by hasting direct total crap as for the actual insurance company which is called advantage arefraudulent in the actions towards the dealings be warned this lot need investigating total pigs no customer service or respect for the customers please remember hasting is just the broker not the insurer so they want to rip you of to get more commission when you confront the pigs you can cancelyour policy they run a fraudulent company further update at 130 pm Hastings decided to cancel myDaughter policy no money owing just because I voicedMy rights and placed a honest review what a bunch ofUnprofessional pigsDate of experience: February 21, 2023",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: this company is a disgrace  to the name…this company is a disgrace  to the name of insuranceso as a broker hasting direct quota the young kids a price when you pay your deposit they decide tochange the price making the insurance unaffordablethe pigs at the office don't care keep away from thiscompany warn your kid that they will get scammed by hasting direct total crap as for the actual insurance company which is called advantage arefraudulent in the actions towards the dealings be warned this lot need investigating total pigs no customer service or respect for the customers please remember hasting is just the broker not the insurer so they want to rip you of to get more commission when you confront the pigs you can cancelyour policy they run a fraudulent company further update at 130 pm Hastings decided to cancel myDaughter policy no money owing just because I voicedMy rights and placed a honest review what a bunch ofUnprofessional pigsDate of experience: February 21, 2023","Topic Category: Customer Service
Themes: Unaffordability due to price changes, Lack of respect for customers
Pain Point: The customer experienced unexpected price increases after paying their deposit with Hastings Direct, rendering the insurance unaffordable for them. They also felt disrespected during the interaction.
Detailed Topic: The customer was quoted an affordable price for an insurance policy when depositing, but later had the price increased significantly. Despite expressing concerns and leaving a negative review, their daughter's policy was cancelled without explanation or owed funds.
Main Emotion: Frustration and disappointment
Emotion Explanation: The customer feels frustrated with the sudden increase in prices and disappointed in being"
DOYLE,13 reviews,GB,"Apr 14, 2023","WORST INSURER AROUND!!!AVOIDstill not got my car back after 5 months, worst company I’ve ever dealt with, customer service is a myth, there isn’t any. They take money out of your bank without permission, can’t get an email back. They tell you lies. 5 months and counting my car is in the garage getting mouldy waiting for work to start. Was stolen in November 2022 and recovered two days later. Took Hastings 4 months to collect it, now taking a further 5/6 to get work started in it, im looking at more additional months before I get it back. Paying finance payments for a car I haven’t seen and maybe will not see for a year. Trust me buy the higher premium elsewhereDate of experience: November 30, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: WORST INSURER AROUND!!!AVOIDstill not got my car back after 5 months, worst company I’ve ever dealt with, customer service is a myth, there isn’t any. They take money out of your bank without permission, can’t get an email back. They tell you lies. 5 months and counting my car is in the garage getting mouldy waiting for work to start. Was stolen in November 2022 and recovered two days later. Took Hastings 4 months to collect it, now taking a further 5/6 to get work started in it, im looking at more additional months before I get it back. Paying finance payments for a car I haven’t seen and maybe will not see for a year. Trust me buy the higher premium elsewhereDate of experience: November 30, 2022","Topic Category: Customer Service
Themes: Long Wait Times, Miscommunication, Lack of Transparency
Pain Point: Unresolved claim process leading to significant inconvenience and financial loss due to delayed return of a stolen vehicle.
Detailed Topic: The insurer has taken 9 months to recover the stolen vehicle and start repairs despite assurances that the process would be completed within a reasonable timeframe. The customer continues to pay finance payments for a car they cannot use.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the lengthy wait times, lack of communication, and broken promises which have resulted in ongoing financial strain and loss of use of their vehicle."
Adele Taylor,28 reviews,GB,"Oct 28, 2022","Been waiting 4 weeks now still no…Been waiting 4 weeks now still no contact spent over 26hrs on hold up to 5 hours some occasions nobody answers the phone,online chat not available and customer complaints department not replied to last three emails, absolutely disgraceful service will not be renewing or using this company ever again.PLEASE AVOIDDate of experience: October 28, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Been waiting 4 weeks now still no…Been waiting 4 weeks now still no contact spent over 26hrs on hold up to 5 hours some occasions nobody answers the phone,online chat not available and customer complaints department not replied to last three emails, absolutely disgraceful service will not be renewing or using this company ever again.PLEASE AVOIDDate of experience: October 28, 2022","Topic Category: Customer Service
Themes: Long Wait Times, Unresponsiveness
Pain Point: Lack of effective communication and resolution despite numerous attempts to reach out for help.
Detailed Topic: The customer has been trying to get in touch with the company via phone, online chat, and email for over four weeks without success, spending a total of more than 26 hours on hold, with wait times reaching up to five hours per call, and receiving no response from the customer complaints department after sending three emails.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the unmet expectation of prompt and efficient communication and resolution, which has led to significant time investment and lack"
Mrs Carol Beaton,5 reviews,GB,"Aug 1, 2022","I recently had 2 cycles stolen from my…I recently had 2 cycles stolen from my back garden, so I contacted HASTINGS DIRECT who took 4 weeks to reply who then said they had passed my claim to a third party DAVIES GROUP, which took another 4 weeks to reply,  they said “ because my cycles were not locked to a part of my building” they were not covered, surprise surprise, so I checked my HASTINGS DIRECT policies and agreements and nowhere did it say they should have been locked in my garden, I photo shot that part of the policies and sent it back to HASTINGS DIRECT I also asked who the heck are DAVIES GROUP and why haven’t I got a copy of there policies, I could’ve lied through my teeth I said the bikes were locked, but I thought honesty would prevail, yeah right, HASTINGS DIRECT make it easy, say there latest advert Don’t go near HASTINGS DIRECTDate of experience: August 01, 2022",2,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: I recently had 2 cycles stolen from my…I recently had 2 cycles stolen from my back garden, so I contacted HASTINGS DIRECT who took 4 weeks to reply who then said they had passed my claim to a third party DAVIES GROUP, which took another 4 weeks to reply,  they said “ because my cycles were not locked to a part of my building” they were not covered, surprise surprise, so I checked my HASTINGS DIRECT policies and agreements and nowhere did it say they should have been locked in my garden, I photo shot that part of the policies and sent it back to HASTINGS DIRECT I also asked who the heck are DAVIES GROUP and why haven’t I got a copy of there policies, I could’ve lied through my teeth I said the bikes were locked, but I thought honesty would prevail, yeah right, HASTINGS DIRECT make it easy, say there latest advert Don’t go near HASTINGS DIRECTDate of experience: August 01, 2022","Topic Category: Customer Service
Themes: Communication Delay, Claims Handling
Pain Point: Long wait times and lack of transparency during the claims process leading to frustration and dissatisfaction.
Detailed Topic: The policy holder experienced long delays in response from both Hastings Direct and Davies Group throughout their insurance claim process. They felt misinformed as they were unaware of who Davies Group was and weren't provided with their policies. Upon discovery that their bicycles, which were not locked to a building structure, were not covered due to policy terms, they questioned the authenticity of Hastings Direct's communication and expressed disappointment.
Main Emotion: Frustration"
Stephen C,4 reviews,GB,"Apr 28, 2023","""Ridiculous auto renewal pricesAfter 2 years with the company my renewal came in at just under double the cost (£ 320 compared to £165).Called to ask for a reason, the answer, """"the economy and the war in Ukraine"""". When i refused to tell them how much the (many) lower quotes i received were they said the first quote was their best one", so,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: ""Ridiculous auto renewal pricesAfter 2 years with the company my renewal came in at just under double the cost (£ 320 compared to £165).Called to ask for a reason, the answer, """"the economy and the war in Ukraine"""". When i refused to tell them how much the (many) lower quotes i received were they said the first quote was their best one","Topic Category: Pricing
Theme 1: Unfair Price Increases
Thematic Description: Customers express frustration over unexpectedly high price increases during contract renewals.
Pain Point: Unexpected increase in subscription fees after contract renewal.
Detailed Topic: The customer experienced an increase from £165 to £320, which represented nearly a 100% price hike.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from feeling misled by the initial pricing and lack of transparency regarding the reasons behind the sudden increase."
Leah,4 reviews,GB,"Sep 28, 2022","AWFUL SERVICE!!AWFUL SERVICE!!! DO NOT PURCHASE ANY INSURANCE WITH THEM!! I was involved in a none fault accident in March 2022 its now nearly October 2022 and my car has not been repaired. Nobody has even been out to see my vehicle, yet they've told me it's perfectly fine to drive - which with young children I haven't felt safe in doing so. I can't even imagine how many calls I've made back and forth to not only Hastings but the garage they assigned my car to be repaired at and nobody can give me a straight answer. All I get is 'The garage is waiting for parts to come in' 6 months later - nothing??? And that's if I can even get through to someone who can help me in any way shape or form. The most terrible customer service I have ever experienced. WATCH OUT They also disguise themselves under other names on comparison websites such as 'INSURE PINK' which I unfortunately found out after purchasing a policy with INSURE PINK trying to stay away from HASTINGS!Date of experience: March 26, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: AWFUL SERVICE!!AWFUL SERVICE!!! DO NOT PURCHASE ANY INSURANCE WITH THEM!! I was involved in a none fault accident in March 2022 its now nearly October 2022 and my car has not been repaired. Nobody has even been out to see my vehicle, yet they've told me it's perfectly fine to drive - which with young children I haven't felt safe in doing so. I can't even imagine how many calls I've made back and forth to not only Hastings but the garage they assigned my car to be repaired at and nobody can give me a straight answer. All I get is 'The garage is waiting for parts to come in' 6 months later - nothing??? And that's if I can even get through to someone who can help me in any way shape or form. The most terrible customer service I have ever experienced. WATCH OUT They also disguise themselves under other names on comparison websites such as 'INSURE PINK' which I unfortunately found out after purchasing a policy with INSURE PINK trying to stay away from HASTINGS!Date of experience: March 26, 2022","Topic Category: Customer Service
Common Themes: Poor Communication, Delayed Response, Unsafe Vehicle Condition
Pain Point: Lack of timely repair and communication regarding a damaged vehicle
Detailed Topic: Despite being involved in an accident in March 2022, the customer's vehicle has not been repaired due to delayed part deliveries and poor communication from both Hastings and the assigned garage. The customer feels unsafe driving the vehicle with young children.
Main Emotion: Frustration
Emotion Explanation: Frustration arises from the prolonged delay in the vehicle's repair process, repeated unclear communication about the status, and the hidden nature of Hast"
sharon king,14 reviews,GB,"Sep 25, 2022","I would give them 0 stars if that was…I would give them 0 stars if that was an option. SCAM comes to mind. had accident 24th august it's now 25th September and still no curtesy car. They have misplaced my car a few times! forgotten if it was drivable or not. Altered my home address. Couldn't agree who moves my car from storage to their chosen garage. Tried to book it into repairs at a garage that didn't repair Mazda's. The list goes onDate of experience: August 26, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: I would give them 0 stars if that was…I would give them 0 stars if that was an option. SCAM comes to mind. had accident 24th august it's now 25th September and still no curtesy car. They have misplaced my car a few times! forgotten if it was drivable or not. Altered my home address. Couldn't agree who moves my car from storage to their chosen garage. Tried to book it into repairs at a garage that didn't repair Mazda's. The list goes onDate of experience: August 26, 2022","Topic Category: Customer Service
Themes: Poor Communication, Inconvenience
Pain Point: Lack of transparency and communication regarding car repair process leading to prolonged waiting time without a courtesy car and multiple inconveniences.
Detailed Topic: Misplacement of car several times with uncertainty about its condition, delayed response to arrange repairs causing extended wait for courtesy car, incorrect address provided during process, attempted booking at unsuitable garage for repairs.
Main Emotion: Frustration
Emotion Explanation: Caused by repeated misunderstandings and miscommunications between the company and the customer concerning their car repair needs and expectations."
Mr Tahri Rasul,8 reviews,GB,"Sep 16, 2022","Please AVOID!!!!!!It took me 1 hour to cancel my renewal. The account would not let me cancel online but to call their call centre. The staff member was so rude and would not let me cancel until I heard all her sales BS spiel. I will never give my business to Hastings again. All she had to do is say sorry to hear that I want cancel and hopefully I'll be a customer again in the future. But no, the staff have been trained to ignore a request to cancel. I have a second car insurance with Aviva and went into the online account a clicked 'Cancel Renewal'. Simple.Date of experience: September 16, 2022",1,"Please provide the following information for the given review keeping concise to a single sentence where possible:
0. Identify the topic category - it can be either Customer Service, Pricing, Policy Terms, Website/App
1. Identify a single or two common themes - this will be used to group review topic together
2. Pain point: What problem or challenge is the review addressing?
3. Detailed Topic: What in detail is the customer problem?
4. Main Emotion: What is the single over-arching emotion on the the review? Please only give 1 emotion.
5. Emotion Explanation: What is the cause and context for this emotion (aspect sentiment)


Review: Please AVOID!!!!!!It took me 1 hour to cancel my renewal. The account would not let me cancel online but to call their call centre. The staff member was so rude and would not let me cancel until I heard all her sales BS spiel. I will never give my business to Hastings again. All she had to do is say sorry to hear that I want cancel and hopefully I'll be a customer again in the future. But no, the staff have been trained to ignore a request to cancel. I have a second car insurance with Aviva and went into the online account a clicked 'Cancel Renewal'. Simple.Date of experience: September 16, 2022","Topic Category: Customer Service
Theme(s): Difficulty Cancelling, Unprofessional Behavior by Staff
Pain Point: The process of cancelling a policy renewal was lengthy and involved unprofessional behavior from a staff member.
Detailed Topic: It took an hour to cancel the policy renewal online as the system wouldn't allow it, requiring a phone call. During the call, the staff member refused to cancel without delivering a long sales pitch despite the customer expressing a desire to leave.
Main Emotion: Frustration
Emotion Explanation: The frustration stems from the time wasted trying to cancel the renewal, the unwillingness of the staff"
